filename,brand_name,class_type,alcohol_content,net_contents,producer,country_of_origin,government_warning,applicant
old-tom-pass.png,Old Tom Distillery,Kentucky Straight Bourbon Whiskey,45%,750 mL,"Old Tom Distillery, Bardstown, KY",,true,Old Tom Distillery LLC
stones-throw-caps.jpg,Stone's Throw,Kentucky Straight Bourbon Whiskey,45%,750 mL,"Stone's Throw Spirits, Loretto, KY",,true,Stone's Throw Spirits Co.
harbor-mist-nowarning.png,Harbor Mist,India Pale Ale,6.8%,12 FL OZ,"Harbor Mist Brewing, Astoria, OR",,true,Harbor Mist Brewing
cedar-ridge-titlecase.jpg,Cedar Ridge,Napa Valley Cabernet Sauvignon,14.2%,750 mL,"Cedar Ridge Vineyards, Rutherford, CA",,true,Cedar Ridge Vineyards
lark-hollow-reworded.png,Lark Hollow,Small Batch Gin,44%,750 mL,"Lark Hollow Craft Spirits, Asheville, NC",,true,Lark Hollow Craft Spirits
vinos-del-sol-abv.jpg,Viños del Sol,Rioja Tempranillo,13.5%,750 mL,"Sol Selections, Miami, FL",Product of Spain,true,Sol Selections
iron-gate-blur.jpg,Iron Gate,Straight Rye Whiskey,50%,750 mL,"Iron Gate Rye Works, Frederick, MD",,true,Iron Gate Rye Works
saltmarsh-glare.jpg,Saltmarsh,Gose Style Ale,4.5%,16 FL OZ,"Saltmarsh Brewing Union, Portland, ME",,true,Saltmarsh Brewing Union
north-fen-pixel.png,North Fen,Vodka,40%,1 L,"North Fen Vodka Co., Duluth, MN",,true,North Fen Vodka Company
brasserie-verte-origin.jpg,Brasserie Verte,Belgian Style Tripel,9.2%,330 mL,"Continental Beverage Imports, Newark, NJ",Product of Belgium,true,Continental Beverage Imports
quarry-house-units.png,Quarry House,Willamette Valley Pinot Noir,13.1%,750 mL,"Quarry House Cellars, Dundee, OR",,true,Quarry House Cellars
golden-hour-nonbold.jpg,Golden Hour,Orange Liqueur,24%,500 mL,"Golden Hour Liqueurs, Sonoma, CA",,true,Golden Hour Liqueurs
ember-line-heavyblur.jpg,Ember Line,Single Malt Whiskey,58.4%,700 mL,"Ember Line Works, Bend, OR",,true,Ember Line Works
stillwater-glare.jpg,Stillwater Landing,Finger Lakes Dry Riesling,11.5%,750 mL,"Stillwater Landing, Geneva, NY",,true,Stillwater Landing
red-kite-pixel.png,Red Kite,American Pale Ale,5.2%,16 FL OZ,"Red Kite Brewing, Fort Collins, CO",,true,Red Kite Brewing
casa-luz-origin.jpg,Casa Luz,100% de Agave Blanco Tequila,40%,750 mL,"Casa Luz Selections, San Antonio, TX",Product of Mexico,true,Casa Luz Selections
fogbank-dark.jpg,Fogbank,Baltic Porter,8.1%,500 mL,"Fogbank Brewing, Duluth, MN",,true,Fogbank Brewing
pilgrim-oak-damaged.jpg,Pilgrim Oak,Apple Brandy,42%,375 mL,"Pilgrim Oak Cider Works, Hood River, OR",,true,Pilgrim Oak Cider Works
tallgrass-cropped.png,Tallgrass Union,Saison,6.4%,750 mL,"Tallgrass Union, Lawrence, KS",,true,Tallgrass Union
maison-clair-angled.jpg,Maison Clair,Côtes de Provence Rosé,12.8%,750 mL,"Clair Vineyard Selections, Chicago, IL",Product of France,true,Clair Vineyard Selections
blue-heron-blur.jpg,Blue Heron,Straight Rye Whiskey,47%,750 mL,"Blue Heron Distilling, Chestertown, MD",,true,Blue Heron Distilling
copper-kettle-pass.png,Copper Kettle,Blended Scotch Whisky,43%,1 L,"Copper Kettle Imports, Boston, MA",Product of Scotland,true,Copper Kettle Imports
wildvine-glare.jpg,Wildvine,Sonoma Coast Orange Wine,13.4%,750 mL,"Wildvine Cellars, Sebastopol, CA",,true,Wildvine Cellars
south-shoal-pixel.png,South Shoal,Flavored Malt Beverage,5.0%,12 FL OZ,"South Shoal Beverage, New Bedford, MA",,true,South Shoal Beverage
abbey-row-pass.jpg,Abbey Row,Belgian Style Dubbel,7.6%,330 mL,"Abbey Row Brewing, Kalamazoo, MI",,true,Abbey Row Brewing
